fid,id sistema,id ruta,nombre,nombre completo,grupo,modalidad,subsistema,tipo unidad,longitud,zona
"1","0","13",38LAL,38 Libramiento,Transregio,Alimentadora,LRC,Panoramica,29,Limite Municipal
"2","1","14",107A,107 Garcia - Valle Verde,Ctm Gpe,Alimentadora,LRC,Panoramica,31.62,Limite Municipal
"3","2","15",310AN,310 Sta Martha - Hipermart Norte,Ctm Feat,Alimentadora,LRC,Midibus Panoramico,21,Limite Municipal
"4","3","16",318SA,310 Santa Martha - Hipermart Sur,Ctm Feat,Alimentadora,LRC,Midibus Panoramico,14,Limite Municipal
"5","4","17",38AA,38 Alianza,Transregio,Alimentadora,LRC,Panoramica,18.6,Limite Municipal
"6","10","48",38F,38 Fomerrey,Ctm Feat,Alimentadora,LRC,Panoramica,13.84,Limite Municipal
"7","11","49",35S,38 Solidaridad,Ctm Feat,Alimentadora,LRC,Panoramica,13.06,Limite Municipal
"8","66","196",209B,209 Sur,Ctm Feat,Alimentadora,ZN,Panoramica,26.52,Limite Municipal
"9","68","198",220VSF,220 Valle De San Francisco,Ctm Feat,Alimentadora,ZN,Panoramica,51.92,Limite Municipal
"10","75","264",220U,220 La Unidad,Ctm Snat,Alimentadora,ZN,Panoramica,40.24,Limite Municipal
"11","87","182","316",,,,,,0,Limite Municipal
"12","89","191","323",,,,,,0,Limite Municipal
"13","96","209",116SV,,,,,,0,Limite Municipal
"14","98","211","64",,,,,,0,Limite Municipal
"15","99","212","313",,,,,,0,Limite Municipal
"16","100","213","205",,,,,,0,Limite Municipal
"17","101","214","226",,,,,,0,Limite Municipal
"18","102","215",134F,,,,,,0,Limite Municipal
"19","103","216","328",,,,,,0,Limite Municipal
"20","108","221",39N,,,,,,0,Limite Municipal
"21","109","222",39G,,,,,,0,Limite Municipal
"22","110","224",326G,,,,,,0,Limite Municipal
"23","111","225",326M,,,,,,0,Limite Municipal
"24","112","226",326PG,,,,,,0,Limite Municipal
"25","113","227",TRMJ,,,,,,0,Limite Municipal
"26","114","228",TRMR,,,,,,0,Limite Municipal
"27","115","229",TRMC,,,,,,0,Limite Municipal
"28","117","231",130H,,,,,,0,Limite Municipal
"29","120","237",108C,,,,,,0,Limite Municipal
"30","121","238",131C,,,,,,0,Limite Municipal
"31","122","239",131V,,,,,,0,Limite Municipal
"32","123","242",2S,,,,,,0,Limite Municipal
"33","125","248","11",,,,,,0,Limite Municipal
"34","136","254",RTMJ,,,,,,0,Limite Municipal
"35","140","255",RTCV,,,,,,0,Limite Municipal
"36","143","256",RTG,,,,,,0,Limite Municipal
"37","145","1",38G,38 Gonzalitos,Transregio,Complementaria,LRC,Panoramica,28.48,Limite Municipal
"38","146","2",38RG,38 Rodrigo Gomez - Simon Bolibar,Transregio,Complementaria,LRC,Panoramica,28.13,Limite Municipal
"39","147","3",21G,"21",Transregio,Complementaria,LRC,Panoramica,32.21,Limite Municipal
"40","148","4",103VV,103 Villagran,Ctm Feat,Complementaria,LRC,Panoramica,24.05,Limite Municipal
"41","149","5",103VC,103 Centro,Ctm Feat,Complementaria,LRC,Panoramica,25.32,Limite Municipal
"42","150","20",122E,122 Estancia,Ctm Feat,Complementaria,LRC,Panoramica,40.51,Limite Municipal
"43","151","24",25A,25 Alvaro Obrego,Transregio,Complementaria,LRC,Panoramica,40.16,Limite Municipal
"44","152","25",25V,25 Villa Mitras,Transregio,Complementaria,LRC,Panoramica,37.78,Limite Municipal
"45","153","26",27V,27 Valle Verde,Transregio,Complementaria,LRC,Panoramica,46.71,Limite Municipal
"46","154","27",201M,201 Metrobus,Ruta 201,Complementaria,LRC,Panoramica,36.34,Limite Municipal
"47","155","28","201",201 Santa Catarina - San Nicolas,Ruta 201,Complementaria,LRC,Panoramica,63.97,Limite Municipal
"48","156","29","215",215 Guadalupe - Penitenciaria,Transregio,Complementaria,LRC,Panoramica,53.59,Limite Municipal
"49","157","30",2L,2 Larga,Transregio,Complementaria,LRC,Panoramica,45.74,Limite Municipal
"50","159","136","202",202 Santa Catarina - Vivienda Digna,Martinez Garcia,Complementaria,LRC,Panoramica,63.15,Limite Municipal
