id,calle_principal,numero,calle_secundaria,tipo_controlador,tipo
"1",16 De Septiembre,"1",Colima,,
"2",16 De Septiembre,"2",Nuevo Leon,C26,
"3",16 De Septiembre,"3",San Luis Potosi,C26,
"4",16 De Septiembre,"4",Tlaxcala,C26,
"5",16 De Septiembre,"5",Vallarta,C26,
"6",2 De Abril ,"6",Hilario Martinez,C26,
"7",2 De Abril,"7",Baja California,C26,
"8",2 De Abril,"8",Chiapas,,
"9",2 De Abril,"9",Palestina,C-2000,
"10",2 De Abril,"10",Paricutin,C26,
"11",2 De Abril,"11",Pirineos,C-2000,
"12",2 De Abriil,"12",Sinaloa,C26,
"13",2 De Abril,"13",Tepic,C26,
"14",5 De Febrero,"14",Nuevo Leon,C26,
"15",5 De Febrero,"15",San Luis Potosi,C26,
"16",5 De Mayo,"16",Bravo,C26,
"17",Aaron Saenz,"17",Arnulfo S. Garza,C-2000,
"18",Aaron Saenz,"18",Manuel J. Clouhtier,C-2000,
"19",Aaron Saenz,"19",Puente La Unidad,C-2000,
"20",Aaron Saenz,"20",Rogelio Cantu Gomez,C-2000,
"21",Alejandro Rodas,"21",Cumbres Elite,C 200,
"22",Alejandro  De Rodas,"22",Hacienda Pañuelas,C-2000,
"23",Alejandro De Rodas,"23",Paseo De Las Estrellas,C26,
"24",Alejandro De Rodas,"24",Pedregal De Las Colinas,C26,
"25",Alejandro De Rodas,"25",Pedro Infante,C 200,
"26",Alejandro De Rodas,"26",Seguridad Social,C26,
"27",Alfonso Reyes,"27",Acuaeducto,C 200,
"28",Alfonso Reyes,"28",Henrry Dunnant,C26,
"29",Almazan,"29",Anillo Metropolitano (la Aurora),C200,
"30",Almazan,"30",Bernardo Reyes,C26,
"31",Almazan,"31",Rodrigo Gomez,C26,
"32",Almazan,"32",San Martin,C26,
"33",Almazan,"33",Teran,,
"34",Alvarez,"34",5 De Mayo,C26,
"35",Alvarez,"35",Carlos Salazar,C26,
"36",Alvarez,"36",Espinoza,C26,
"37",Alvarez,"37",M.m. De Llano,,
"38",Alvarez,"38",Ruperto Martinez,C26,
"39",Alvarez,"39",Treviño,C26,
"40",Amado Nervo,"39",Espinosa,,
"41",Amado Nervo,"41",J.m. Herrera,C26,
"42",Amado Nervo,"42",M.m. De Llano,C26,
"43",Amado Nervo,"43",Treviño,,
"44",America,"44",Reforma,C 200,
"45",America,"45",Ruperto Martinez,C200,
"46",America,"46",Treviño,C200,
"47",Antiguocaminoavilla De Santiago,"47",Cervera Delrio,C200,
"48",Antiguo Camino A Villa De Santiago,"48",El Vergel,C200,
"49",Antiguos Ejidatarios,"49",Tramoyistas,C-2000,
"50",Antonio I. Villarreal,"50",Francisco Beltran,C26,
"51",Arteaga,"51",20 De Noviembre,C-26,
"52",Arteaga,"52",Amado Nervo,,
"53",Arteaga,"53",America,C-2000,
"54",Arteaga,"54",Miguel Nieto,C-200,
"55",Ayutla ,"55",Hilario Martinez,C-200,
"56",Ayutla,"56",Michoacan,C-200,
"57",Ayutla,"57",Paricutin,C-26,
"58",Aztlan,"58",Apolo,C-26,
"59",Aztlan,"59",Azteca,C-26,
"60",Aztlan,"60",B Mitre,C-200,
"61",Aztlan,"61",Cabezada,C-200,
"62",Aztlan,"62",Compostela,C-26,
"63",Aztlan,"63",Coyoacan,C-26,
"64",Aztlan,"64",Esquisto,,
"65",Aztlan,"65",Las Rocas,C-26,
"66",Aztlan,"66",Manzana,C26,
"67",Aztlan,"67",No Recoleccion,C26,
